"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\router\index.js", "JavaScript", 0, 8, 0, 0, 8
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Store.vue", "vue", 2, 0, 0, 0, 2
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditCollection.vue", "vue", 372, 0, 0, 12, 384
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\MyProblem.vue", "vue", 107, 0, 0, 1, 108
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\MySolution.vue", "vue", 195, 0, 0, -1, 194
"Total", "-", 676, 8, 0, 12, 696
