"filename", "language", "JavaScript", "CSS", "vue", "XML", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Competition.vue", "vue", 0, 0, 681, 0, 1, 19, 701
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course.vue", "vue", 0, 0, 215, 0, 0, 8, 223
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course\CourseInfo.vue", "vue", 0, 0, 221, 0, 0, 4, 225
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Home.vue", "vue", 0, 0, 605, 0, 0, 17, 622
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library.vue", "vue", 0, 0, 493, 0, 1, 8, 502
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-basicSyntax.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-calculator.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-class.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-comment.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-controller.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-dataStructure.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-error.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-inputAndOuput.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-install.vue", "vue", 0, 0, 31, 0, 0, 2, 33
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-interpreter.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-introduction.vue", "vue", 0, 0, 23, 0, 0, 4, 27
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-module.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-next.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-standardLibrary.vue", "vue", 0, 0, 9, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python.vue", "vue", 0, 0, 108, 0, 0, 3, 111
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\install\Install-Windows.vue", "vue", 0, 0, 731, 0, 0, 6, 737
